department;municipality;postal_code;neighbourhood
Managua;Managua;14054;Reparto Cuadra
Managua;Managua;14055;Nicarao Sector Sur
Managua;Managua;14056;Edmundo Matamoros
Managua;Managua;14056;Santa Bárbara
Managua;Managua;14057;14 De Septiembre
Managua;Managua;14058;Omar Torrijos
Managua;Managua;14058;Santa Emilia
Managua;Managua;14059;Jardines De Veracruz
Managua;Managua;14061;Anexo Jardines De Veracruz
Managua;Managua;14062;Sector Conchita Palacios
Managua;Managua;14063;Leningrado
Managua;Managua;14064;Colonia Primero De Mayo
Managua;Managua;14065;Anexo Colonia Primero De Mayo
Managua;Managua;14066;Villa Valencia
Managua;Managua;14067;Villa Flor Norte
Managua;Managua;14068;Las Alemanias
Managua;Managua;14069;Bosque Norte Y Sur
Managua;Managua;14071;Américas 4
Managua;Managua;14071;Villa Venezuela
Managua;Managua;14072;Villa La Sabana
Managua;Managua;14073;Sector Este Villa Venezuela
Managua;Managua;14074;Arlen Siu
Managua;Managua;14075;Mirador La Sabana
Managua;Managua;14076;Manuel Fernández
Managua;Managua;14076;Laureles Sur
Managua;Managua;14077;Arnoldo Alemán
Managua;Managua;14078;Maria Dolores Alemán
Managua;Managua;14079;Vittoria
Managua;Managua;14081;Sector Este Laureles Sur
Managua;Managua;14082;Altos De La Sabana
Managua;Managua;14083;Los Cocos Sabana Grande
Managua;Managua;14084;4 De Noviembre
Managua;Managua;14085;Sabana Grande
Managua;Managua;14086;Ríos De Agua Viva
Managua;Managua;14087;Sector Sur Sabana Grande
Managua;Managua;14088;Sector Sur Comarca San Cristóbal
Managua;Managua;14089;Sector Este 2 Comarca Sabana Grande Sur
Managua;Managua;14091;Villa Sol
Managua;Managua;14092;Sabanas
Managua;Managua;14093;Sector Este 1 Comarca Sabana Grande Sur
Managua;Managua;14094;Sector Oeste Comarca Sabana Grande Sur
Managua;Managua;14095;Israel Galeano
Managua;Managua;14096;Nueva Sabana
Managua;Managua;14097;Comandante Aureleano
Managua;Managua;14098;Camino Del Río
Managua;Managua;14099;Los Ingenieros
Managua;Managua;14099;Sector Sur Lomas De Guadalupe
Managua;Managua;14099;Los Corteses
Managua;Managua;14101;Lomas De Guadalupe
Managua;Managua;14102;Villa Libertad
Managua;Managua;14103;Anexo Villa Libertad
Managua;Managua;14104;Sol De Libertad
Managua;Managua;14105;Nueva Nicaragua
Managua;Managua;14106;Divino Niño
Managua;Managua;14107;Ciudad San Sebastián
Managua;Managua;14108;Sector Sur Anexo Villa Libertad
Managua;Managua;14109;Milagro De Dios
Managua;Managua;14111;Anexo Villa Venezuela
Managua;Managua;14112;Vista Al Xolotlán
Managua;Managua;14113;Carlos Núñez Américas 4
Managua;Managua;14114;Villa Canadá
Managua;Managua;14115;Manolo Morales
Managua;Managua;14116;25 De Febrero
Managua;Managua;14117;Villa Flor Sur
Managua;Managua;14118;Enrique Schmidt Villa Flor
Managua;Managua;14119;11 De Mayo
Managua;Managua;14121;13 De Mayo
Managua;Managua;14122;18 De Agosto
Managua;Managua;14123;Ciudadela Nicaragua
Managua;Managua;14124;28 De Mayo
Managua;Managua;14125;Eddy Mayorga
Managua;Managua;14126;Eduardo Contreras
Managua;Managua;14127;30 De Mayo
Managua;Managua;14127;Sector Milagro De Dios
Managua;Managua;14128;Alfredo Nobel
Managua;Managua;14128;Che Guevara
Managua;Managua;14129;Salomón Moreno
Managua;Managua;14131;Enrique Lorente
Managua;Managua;14131;Reparto Shick 3
Managua;Managua;14132;Bariloche
Managua;Managua;14132;Blanca Segovia
Managua;Managua;14133;Blanca Arauz
Managua;Managua;14133;Amanda Aguilar
Managua;Managua;14134;Sócrates Sandino
Managua;Managua;14135;Reparto Shick 4
Managua;Managua;14135;Enrique Gutiérrez
Managua;Managua;14136;Ángel Valentín Barrios
Managua;Managua;14136;Reparto Shick 2
Managua;Managua;14137;Rene Polanco
Managua;Managua;14138;Germán Pomares
Managua;Managua;14139;Proyecto Piloto
Managua;Managua;14141;Pablo Úbeda
Managua;Managua;14142;Macaraly
Managua;Managua;14142;Reparto Shick 1
Managua;Managua;14143;Francisco Salazar
Managua;Managua;14144;Finlandia Rubén Darío Las Colinas
Managua;Managua;14145;Augusto Cesar Sandino
Managua;Managua;14146;12 De Octubre
Managua;Managua;14147;San Lucas
Managua;Managua;14148;Anexo 18 De Mayo
Managua;Managua;14149;18 De Mayo
Managua;Managua;14151;Walter Ferreti
Managua;Managua;14152;Isabel Urbina
Managua;Managua;14152;Adolfo Reyes
Managua;Managua;14153;Sector Hogar Zacarías Guerra
Managua;Managua;14154;Lomas Del Valle
Managua;Managua;14155;Piquín Guerrero
Managua;Managua;14155;Las Lomitas Centroamérica
Managua;Managua;14156;22 De Enero
Managua;Managua;14157;Sector Camino De Oriente
Managua;Managua;14158;Sector Noroeste Rotonda Jean Paul Genie
Managua;Managua;14159;Planes De Puntaldía
Managua;Managua;14161;Villas Italianas
Managua;Managua;14162;Mirasol
Managua;Managua;14163;Madroños Villa Fontana
Managua;Managua;14164;Inmaculada Villa Fontana
Managua;Managua;14165;Villa Fontana Este
